"Rank","Player","Team","Bye","POS","CBS","AVG"
"1","Adrian Peterson","","","RB1","1","1.0"
"2","Le'Veon Bell","","","RB2","4","3.0"
"3","Eddie Lacy","","","RB3","2","3.0"
"4","Jamaal Charles","","","RB4","3","3.3"
"5","Marshawn Lynch","","","RB5","5","4.8"
"6","Antonio Brown","","","WR1","7","6.8"
"7","Dez Bryant","","","WR2","13","10.2"
"8","Andrew Luck","","","QB1","6","10.8"
"9","Matt Forte","","","RB6","8","10.8"
"10","C.J. Anderson","","","RB7","9","11.3"
"11","DeMarco Murray","","","RB8","10","12.0"
"12","Rob Gronkowski","","","TE1","14","12.2"
"13","Aaron Rodgers","NYJ","5","QB2","11","12.3"
"14","Demaryius Thomas","","","WR3","12","12.5"
"15","Jeremy Hill","","","RB9","17","14.0"
"16","Julio Jones","","","WR4","16","14.0"
"17","Odell Beckham Jr.","MIA","5","WR5","15","14.5"
"18","Calvin Johnson","","","WR6","18","16.8"
"19","LeSean McCoy","","","RB10","21","18.0"
"20","Randall Cobb","","","WR7","19","20.3"
"21","A.J. Green","","","WR8","23","20.3"
"22","T.Y. Hilton","","","WR9","25","24.2"
"23","Justin Forsett","","","RB11","22","24.5"
"24","Alshon Jeffery","","","WR10","30","25.3"
"25","Jimmy Graham","","","TE2","27","27.5"
"26","Lamar Miller","","","RB12","24","28.7"
"27","Mike Evans","TB","6","WR11","32","29.2"
"28","Mark Ingram","II","","RB13","34","29.8"
"29","Peyton Manning","","","QB3","20","30.0"
"30","Brandin Cooks","DAL","6","WR12","31","31.5"
"31","Frank Gore","","","RB14","35","32.2"
"32","Emmanuel Sanders","","","WR13","29","32.7"
"33","DeAndre Hopkins","TEN","4","WR14","43","34.7"
"34","Russell Wilson","PIT","11","QB4","36","35.5"
"35","Drew Brees","","","QB5","26","35.5"
"36","Alfred Morris","","","RB15","37","35.8"
"37","Jordan Matthews","CAR","5","WR15","40","36.0"
"38","Melvin Gordon","III","","RB16","28","36.3"
"39","Latavius Murray","","","RB17","33","39.2"
"40","Carlos Hyde","","","RB18","44","41.0"
"41","Andre Johnson","","","WR16","42","43.8"
"42","Amari Cooper","CLE","11","WR17","57","47.0"
"43","Greg Olsen","","","TE3","45","47.0"
"44","Ben Roethlisberger","","","QB6","38","47.2"
"45","Julian Edelman","","","WR18","41","47.2"
"46","Andre Ellington","","","RB19","39","48.3"
"47","Golden Tate","","","WR19","46","50.7"
"48","Jonathan Stewart","","","RB20","65","52.5"
"49","Travis Kelce","KC","9","TE4","52","52.5"
"50","Keenan Allen","CHI","7","WR20","59","54.2"
"51","Jeremy Maclin","","","WR21","47","54.5"
"52","Joseph Randle","","","RB21","51","55.0"
"53","DeSean Jackson","","","WR22","67","55.2"
"54","Matt Ryan","","","QB7","48","57.0"
"55","Arian Foster","","","RB22","54","58.2"
"56","Tony Romo","","","QB8","50","58.2"
