"Rank","Player","Team","Bye","POS","CBS","Sleeper","RTSports","AVG"
"1","Antonio Brown","","","WR1","1","","","1.0"
"2","Odell Beckham Jr.","MIA","8","WR2","3","","","2.7"
"3","Todd Gurley","II","","RB1","2","","","3.5"
"4","Julio Jones","","","WR3","5","","","4.3"
"5","David Johnson","","","RB2","4","","","4.5"
"6","Adrian Peterson","","","RB3","6","","","6.3"
"7","Ezekiel Elliott","DAL","7","RB4","7","","","6.8"
"8","DeAndre Hopkins","TEN","13","WR4","8","","","8.2"
"9","Rob Gronkowski","","","TE1","11","","","10.2"
"10","A.J. Green","","","WR5","13","","","10.5"
"11","Le'Veon Bell","","","RB5","9","","","11.2"
"12","Lamar Miller","","","RB6","12","","","12.0"
"13","Devonta Freeman","","","RB7","14","","","13.2"
"14","Dez Bryant","","","WR6","19","","","15.0"
"15","Allen Robinson II","NYG","8","WR7","20","","","15.0"
"16","Jordy Nelson","","","WR8","17","","","16.7"
"17","Cam Newton","","","QB1","10","","","18.8"
"18","Brandon Marshall","","","WR9","24","","","20.5"
"19","Mike Evans","TB","6","WR10","28","","","21.2"
"20","Eddie Lacy","","","RB8","16","","","21.7"
"21","Mark Ingram","II","","RB9","21","","","22.2"
"22","Jamaal Charles","","","RB10","18","","","22.5"
"23","LeSean McCoy","","","RB11","25","","","23.2"
"24","Doug Martin","","","RB12","22","","","23.5"
"25","Aaron Rodgers","NYJ","11","QB2","15","","","24.5"
"26","Keenan Allen","CHI","9","WR11","26","","","25.2"
"27","Amari Cooper","CLE","13","WR12","27","","","25.2"
"28","Alshon Jeffery","","","WR13","32","","","25.8"
"29","Brandin Cooks","DAL","7","WR14","34","","","29.8"
"30","Sammy Watkins","","","WR15","33","","","30.3"
"31","C.J. Anderson","","","RB13","29","","","31.3"
"32","Demaryius Thomas","","","WR16","43","","","33.2"
"33","T.Y. Hilton","","","WR17","31","","","33.8"
"34","Russell Wilson","PIT","8","QB3","23","","","35.5"
"35","Carlos Hyde","","","RB14","42","","","38.0"
"36","Thomas Rawls","","","RB15","39","","","38.8"
"37","Jordan Reed","","","TE2","36","","","39.5"
"38","Matt Forte","","","RB16","37","","","40.0"
"39","Latavius Murray","","","RB17","30","","","41.5"
"40","Jarvis Landry","","","WR18","49","","","43.2"
"41","Randall Cobb","","","WR19","46","","","43.7"
"42","Greg Olsen","","","TE3","41","","","43.8"
"43","Andrew Luck","","","QB4","35","","","44.2"
"44","DeMarco Murray","","","RB18","45","","","44.7"
"45","Julian Edelman","","","WR20","44","","","44.7"
"46","Doug Baldwin","","","WR21","40","","","45.2"
"47","Drew Brees","","","QB5","38","","","47.3"
"48","Jonathan Stewart","","","RB19","50","","","49.7"
"49","Eric Decker","","","WR22","56","","","50.0"
"50","Kelvin Benjamin","","","WR23","48","","","50.3"
"51","Jeremy Hill","","","RB20","52","","","50.7"
"52","Jeremy Maclin","","","WR24","54","","","51.5"
"53","Ben Roethlisberger","","","QB6","47","","","53.3"
"54","Golden Tate","","","WR25","58","","","55.2"
"55","Donte Moncrief","","","WR26","63","","","58.3"
"56","Travis Kelce","KC","5","TE4","60","","","58.5"
"57","Ryan Mathews","","","RB21","62","","","59.8"
"58","Michael Floyd","","","WR27","66","","","60.8"
"59","Delanie Walker","","","TE5","55","","","61.5"
"60","Melvin Gordon","III","","RB22","59","","","61.7"
"61","Jeremy Langford","","","RB23","51","","","62.2"
"62","Carson Palmer","","","QB7","53","","","62.3"
"63","Tom Brady","","","QB8","57","","","62.5"
"64","Larry Fitzgerald","","","WR28","64","","","63.0"
"65","Emmanuel Sanders","","","WR29","67","","","68.7"
"66","Matt Jones","","","RB24","70","","","72.8"
"67","Arian Foster","","","RB25","65","","","73.5"
"68","Frank Gore","","","RB26","72","","","75.0"
"69","Eli Manning","","","QB9","71","","","75.8"
"70","Coby Fleener","","","TE6","68","","","76.8"
"71","John Brown","","","WR30","90","","","78.2"
"72","Jordan Matthews","CAR","7","WR31","82","","","79.0"
"73","Giovani Bernard","","","RB27","69","","","79.2"
"74","Allen Hurns","","","WR32","87","","","80.0"
"75","DeSean Jackson","","","WR33","94","","","82.0"
"76","Gary Barnidge","","","TE7","73","","","82.3"
