"Rank","Player","Team","Bye","POS","Yahoo","Sleeper","RTSports","AVG"
"1","Justin Jefferson","MIN","13","WR1","1","1","1","1.0"
"2","Christian McCaffrey","SF","9","RB1","2","2","2","2.0"
"3","Ja'Marr Chase","CIN","7","WR2","3","3","4","3.3"
"4","Tyreek Hill","MIA","10","WR3","5","6","3","4.7"
"5","Austin Ekeler","WAS","14","RB2","4","4","6","4.7"
"6","Travis Kelce","KC","10","TE1","6","5","9","6.7"
"7","Bijan Robinson","ATL","11","RB3","9","7","5","7.0"
"8","Nick Chubb","CLE","5 ","RB4","7","9","7","7.7"
"9","Saquon Barkley","PHI","10","RB5","10","8","8","8.7"
"10","Stefon Diggs","HOU","7","WR4","8","10","10","9.3"
"11","A.J. Brown","PHI","10","WR5","12","11","18","13.7"
"12","CeeDee Lamb","DAL","7","WR6","13","14","14","13.7"
"13","Tony Pollard","TEN","7","RB6","11","19","12","14.0"
"14","Patrick Mahomes II","KC","10","QB1","14","13","15","14.0"
"15","Amon-Ra St. Brown","DET","9","WR7","19","17","11","15.7"
"16","Derrick Henry","BAL","13","RB7","15","12","21","16.0"
"17","Josh Jacobs","GB","6","RB8","18","18","13","16.3"
"18","Davante Adams","LV","13","WR8","17","16","19","17.3"
"19","Josh Allen","BUF","13","QB2","23","20","16","19.7"
"20","Jalen Hurts","PHI","10","QB3","21","23","17","20.3"
"21","Garrett Wilson","NYJ","7","WR9","20","21","22","21.0"
"22","Jaylen Waddle","MIA","10","WR10","22","22","26","23.3"
"23","Cooper Kupp","LAR","10","WR11","16","15","41","24.0"
"24","Chris Olave","NO","11","WR12","26","26","23","25.0"
"25","Travis Etienne Jr.","JAC","9","RB9","24","28","24","25.3"
"26","DeVonta Smith","PHI","10","WR13","25","29","25","26.3"
"27","Najee Harris","PIT","6","RB10","28","24","32","28.0"
"28","Mark Andrews","BAL","13","TE2","32","25","31","29.3"
"29","Joe Mixon","HOU","7","RB11","27","32","29","29.3"
"30","Rhamondre Stevenson","NE","11","RB12","30","30","28","29.3"
"31","Calvin Ridley","TEN","7","WR14","33","37","20","30.0"
"32","Jahmyr Gibbs","DET","9","RB13","34","31","27","30.7"
"33","Tee Higgins","CIN","7","WR15","29","27","43","33.0"
"34","DK Metcalf","SEA","5","WR16","35","35","36","35.3"
"35","Breece Hall","NYJ","7","RB14","37","38","33","36.0"
"36","Aaron Jones","MIN","13","RB15","31","39","39","36.3"
"37","Deebo Samuel Sr.","SF","9","WR17","38","34","37","36.3"
"38","Lamar Jackson","BAL","13","QB4","36","33","50","39.7"
"39","Kenneth Walker III","SEA","5","RB16","43","41","35","39.7"
"40","Joe Burrow","CIN","7 ","QB5","41","36","45","40.7"
"41","T.J. Hockenson","MIN","13 ","TE3","42","48","34","41.3"
"42","Keenan Allen","CHI","13","WR18","46","40","40","42.0"
"43","Amari Cooper","CLE","5","WR19","39","42","48","43.0"
"44","Jonathan Taylor","IND","11","RB17","40","43","55","46.0"
"45","Justin Herbert","LAC","5 ","QB6","50","44","44","46.0"
"46","Dameon Pierce","HOU","7","RB18","45","47","46","46.0"
"47","Miles Sanders","CAR","7","RB19","49","52","38","46.3"
"48","Justin Fields","PIT","6","QB7","48","46","57","50.3"
"49","Brandon Aiyuk","SF","9","WR20","61","65","30","52.0"
"50","Trevor Lawrence","JAC","9","QB8","57","57","47","53.7"
"51","DeAndre Hopkins","TEN","7","WR21","60","49","53","54.0"
"52","DJ Moore","CHI","13","WR22","52","50","61","54.3"
"53","George Kittle","SF","9","TE4","47","45","72","54.7"
"54","Darren Waller","NYG","13","TE5","53","55","65","57.7"
"55","Alexander Mattison","LV","13","RB20","55","54","64","57.7"
"56","James Conner","ARI","14","RB21","54","62","58","58.0"
"57","Terry McLaurin","WAS","14","WR23","64","53","67","61.3"
"58","James Cook","BUF","13","RB22","67","77","42","62.0"
"59","Javonte Williams","DEN","9","RB23","69","69","49","62.3"
"60","Christian Watson","GB","6","WR24","73","59","62","64.7"
"61","Tyler Lockett","SEA","5","WR25","51","68","77","65.3"
"62","D'Andre Swift","CHI","13","RB24","87","63","51","67.0"
"63","Dallas Goedert","PHI","10","TE6","56","61","84","67.0"
"64","Cam Akers","MIN","13 ","RB25","58","58","85","67.0"
"65","Kyle Pitts","ATL","11","TE7","59","60","83","67.3"
"66","Chris Godwin","TB","5","WR26","70","64","68","67.3"
"67","Drake London","ATL","11","WR27","62","56","86","68.0"
"68","Alvin Kamara","NO","11","RB26","82","66","59","69.0"
"69","Mike Williams","NYJ","7 ","WR28","81","67","63","70.3"
"70","Rachaad White","TB","5","RB27","85","72","56","71.0"
"71","Dalvin Cook","","","RB28","68","70","75","71.0"
"72","Michael Pittman Jr.","IND","11","WR29","83","81","54","72.7"
"73","David Montgomery","DET","9","RB29","77","78","66","73.7"
"74","Jerry Jeudy","CLE","5","WR30","88","75","60","74.3"
"75","Isiah Pacheco","KC","10","RB30","74","74","76","74.7"
"76","Mike Evans","TB","5","WR31","84","73","70","75.7"
"77","George Pickens","PIT","6","WR32","91","76","73","80.0"
"78","Tua Tagovailoa","MIA","10","QB9","99","94","52","81.7"
"79","Christian Kirk","JAC","9 ","WR33","90","71","87","82.7"
"80","Diontae Johnson","CAR","7","WR34","72","80","96","82.7"
"81","San Francisco 49ers","DST","9","DST1","65","95","99","86.3"
"82","Jahan Dotson","WAS","14","WR35","97","85","79","87.0"
"83","Evan Engram","JAC","9","TE8","76","82","104","87.3"
"84","Jordan Addison","MIN","13","WR36","108","83","74","88.3"
"85","Deshaun Watson","CLE","5 ","QB10","96","86","88","90.0"
"86","AJ Dillon","GB","6","RB31","106","87","80","91.0"
"87","Dallas Cowboys","DST","7","DST2","71","113","91","91.7"
"88","Khalil Herbert","CHI","13","RB32","98","96","81","91.7"
"89","Dak Prescott","DAL","7","QB11","79","91","106","92.0"
"90","Brian Robinson Jr.","WAS","14","RB33","107","100","71","92.7"
"91","Pat Freiermuth","PIT","6","TE9","78","88","117","94.3"
"92","Zay Flowers","BAL","13","WR37","120","97","69","95.3"
