Brandon Aubrey,8,DAL
Justin Tucker,7.3,BAL
Harrison Butker,7.2,KC
Jake Elliott,7,PHI
Younghoe Koo,6.8,ATL
Ka'imi Fairbairn,6.8,HOU
Jake Moody,6.6,SF
Jason Sanders,6.6,MIA
Evan McPherson,6.6,CIN
Cameron Dicker,6.5,LAC
Jason Myers,6.4,SEA
Tyler Bass,6.3,BUF
Matt Gay,6.3,IND
Greg Zuerlein,6.3,NYJ
Daniel Carlson,6.2,LV
Cairo Santos,6.2,CHI
Will Reichard,6.2,MIN
Dustin Hopkins,6.1,CLE
Chris Boswell,6.1,PIT
Jake Bates,6.1,DET
Wil Lutz,6.1,DEN
Blake Grupe,6.1,NO
Chase McLaughlin,6,TB
Graham Gano,6,NYG
Greg Joseph,5.9,GB
Joshua Karty,5.9,LAR
Brandon McManus,5.9,FA
Cam Little,5.9,JAC
Matt Prater,5.8,ARI
Chad Ryland,5.8,NE
Anders Carlson,5.8,GB
Riley Patterson,5.7,FA
Cade York,5.6,WAS
Brett Maher,5.6,FA
Mason Crosby,5.4,FA
Joey Slye,5.4,NE
Chris Naggar,5.3,FA
Nick Folk,5.2,TEN
Matthew Wright,5.1,PIT
Tanner Brown,5,FA
