Josh Allen,20,BUF
Patrick Mahomes II,19.1,KC
Jalen Hurts,18.3,PHI
Lamar Jackson,17.8,BAL
C.J. Stroud,17.4,HOU
Anthony Richardson,17.2,IND
Joe Burrow,17.2,CIN
Jordan Love,16.9,GB
Kyler Murray,16.9,ARI
Dak Prescott,16.5,DAL
Brock Purdy,16.4,SF
Caleb Williams,16.1,CHI
Tua Tagovailoa,16,MIA
Jayden Daniels,15.7,WAS
Jared Goff,15.5,DET
Trevor Lawrence,15.5,JAC
Justin Herbert,15.3,LAC
Aaron Rodgers,15.2,NYJ
Kirk Cousins,15.2,ATL
Baker Mayfield,15.1,TB
Deshaun Watson,15.1,CLE
Will Levis,15,TEN
Geno Smith,15,SEA
Matthew Stafford,15,LAR
Bo Nix,15,DEN
Justin Fields,15,PIT
Derek Carr,14.8,NO
Bryce Young,14.7,CAR
Daniel Jones,14.7,NYG
Russell Wilson,14.7,PIT
Drake Maye,14.5,NE
Michael Penix Jr.,14.5,ATL
Gardner Minshew II,14.5,LV
Kenny Pickett,14.5,PHI
Aidan O'Connell,14.5,LV
Sam Darnold,14.5,MIN
Carson Wentz,14.4,KC
Joe Milton III,14.4,NE
Joe Flacco,14.3,IND
Hendon Hooker,14.3,DET
Tommy DeVito,14.2,NYG
Joshua Dobbs,14.2,SF
Davis Cheek,14.2,FA
Spencer Rattler,14.2,NO
Trey Lance,14.1,DAL
Zach Wilson,14.1,DEN
Jake Browning,14.1,CIN
Jimmy Garoppolo,14.1,LAR
Tom Brady,14,FA
Peewee Jarrett,14,FA
Jacoby Brissett,14,NE
Sam Howell,14,SEA
Mac Jones,14,JAC
Austin Aune,14,FA
Jameis Winston,14,CLE
K.J. Costello,13.9,FA
Mike White,13.9,FA
Trace McSorley,13.9,WAS
Carson Strong,13.9,FA
Tyson Bagent,13.7,CHI
Nick Foles,13.7,FA
Drew Lock,13.6,NYG
Cooper Rush,13.6,DAL
Andy Dalton,13.5,CAR
Nathan Rourke,13.5,FA
Cole McDonald,13.5,FA
Sean Clifford,13.5,GB
Nick Mullens,13.4,MIN
Clayton Thorson,13.4,FA
Matt Ryan,13.4,FA
Anthony Brown Jr.,13.4,BUF
Jaren Hall,13.3,MIN
Kyle Allen,13.2,PIT
Teddy Bridgewater,13.1,FA
Matt Corral,13,MIN
Matt Barkley,13,FA
