"K","Overall","Player","Team","Bye","ESPN","Yahoo","CBS","Sleeper","RTSports","AVG"
"1","239","Brandon Aubrey","DAL","10","2","1","","","1","1.5"
"2","247","Cameron Dicker","LAC","12","3","2","","","2","2.5"
"3","254","Jake Bates","DET","8","1","3","","","3","3.0"
"4","280","Chris Boswell","PIT","5","7","4","","","9","5.3"
"5","261","Ka'imi Fairbairn","HOU","6","11","5","","","4","6.0"
"6","264","Chase McLaughlin","TB","9","4","11","","","6","7.0"
"7","277","Jason Sanders","MIA","12","8","12","","","8","8.5"
"8","271","Harrison Butker","KC","10","9","8","","","7","8.8"
"9","262","Wil Lutz","DEN","12","17","7","","","5","9.3"
"10","292","Jake Elliott","PHI","9","6","14","","","11","10.3"
"11","303","Tyler Bass","BUF","7","5","17","","","15","11.5"
"12","295","Evan McPherson","CIN","10","14","9","","","12","12.8"
"13","284","Brandon McManus","GB","5","19","10","","","10","14.8"
"14","298","Younghoe Koo","ATL","5","18","16","","","14","15.3"
"15","297","Matt Gay","WAS","12","13","21","","","13","15.5"
"16","308","Joshua Karty","LAR","8","12","15","","","18","16.0"
"17","310","Daniel Carlson","LV","8","16","19","","","19","16.5"
"18","305","Jake Moody","SF","14","22","13","","","16","17.3"
"19","313","Tyler Loop","BAL","7","10","20","","","20","17.8"
"20","306","Will Reichard","MIN","6","20","18","","","17","18.0"
"21","","Justin Tucker","","","21","6","","","","13.5"
"22","","Jason Myers","SEA","8","23","","","","","18.5"
"23","","Cairo Santos","CHI","5","15","","","","","19.0"
"24","","Cam Little","JAC","8","26","","","","","24.0"
"25","","Andy Borregales","NE","14","25","","","","","26.0"
"26","","Graham Gano","NYG","14","30","","","","","28.0"
"27","","Parker Romo","NE","14","27","","","","","28.0"
"28","","Dustin Hopkins","CLE","9","28","","","","","28.0"
"29","","Blake Grupe","NO","11","33","","","","","28.5"
"30","","Jude McAtamney","NYG","14","24","","","","","29.5"
"31","","Matthew Wright","CAR","14","31","","","","","30.5"
"32","","Chad Ryland","ARI","8","38","","","","","31.5"
"33","","Spencer Shrader","IND","11","34","","","","","34.0"
"34","","Zane Gonzalez","","","29","","","","","29.0"
"35","","Joey Slye","TEN","10","","","","","","31.0"
"36","","Greg Joseph","SF","14","41","","","","","39.0"
"37","","Mason Crosby","","","32","","","","","32.0"
"38","","Harrison Mevis","NYJ","9","","","","","","32.0"
"39","","Lenny Krieg","ATL","5","","","","","","33.0"
"40","","Cade York","","","42","","","","","40.0"
"41","","Tanner Brown","","","35","","","","","35.0"
"42","","Matt Prater","","","36","","","","","36.0"
"43","","John Hoyland","BAL","7","","","","","","36.0"
"44","","Eddy Pineiro","","","37","","","","","37.0"
"45","","Randy Bullock","","","39","","","","","39.0"
"46","","Ben Sauls","PIT","5","","","","","","39.0"
"47","","Caden Davis","NYJ","9","40","","","","","43.0"
"48","","Charlie Smyth","NO","11","","","","","","40.0"
"49","","Andre Szmyt","CLE","9","","","","","","41.0"
"50","","Anders Carlson","","","","","","","","42.0"
"51","","Greg Zuerlein","","","43","","","","","43.0"
"52","","Ryan Fitzgerald","CAR","14","","","","","","43.0"
"53","","Christopher Dunn","","","44","","","","","44.0"
"54","","Maddux Trujillo","IND","11","","","","","","44.0"
"55","","Lucas Havrisik","","","45","","","","","45.0"
"56","","Jonathan Kim","CHI","5","","","","","","45.0"
"57","","Michael Badgley","","","46","","","","","46.0"
""
""
