Christian McCaffrey,16,SF
Breece Hall,15.3,NYJ
Bijan Robinson,14.7,ATL
Jonathan Taylor,14.6,IND
Saquon Barkley,13.9,PHI
Jahmyr Gibbs,13.7,DET
Derrick Henry,13.4,BAL
Travis Etienne Jr.,13.4,JAC
Kyren Williams,13.3,LAR
Isiah Pacheco,12.5,KC
Josh Jacobs,12,GB
James Cook,11.8,BUF
Rachaad White,11.8,TB
De'Von Achane,11.7,MIA
Kenneth Walker III,11,SEA
Aaron Jones,10.9,MIN
Joe Mixon,10.7,HOU
James Conner,10.7,ARI
Alvin Kamara,10.7,NO
D'Andre Swift,10.6,CHI
Rhamondre Stevenson,10.2,NE
Tony Pollard,10,TEN
David Montgomery,10,DET
Zamir White,10,LV
Najee Harris,9.9,PIT
Javonte Williams,9.7,DEN
Raheem Mostert,9.6,MIA
Jaylen Warren,9.6,PIT
Zack Moss,9.3,CIN
Brian Robinson Jr.,9.2,WAS
Austin Ekeler,9.2,WAS
Jonathon Brooks,9.1,CAR
Devin Singletary,9.1,NYG
Nick Chubb,9.1,CLE
Tyjae Spears,9,TEN
Ezekiel Elliott,9,DAL
Blake Corum,8.5,LAR
Gus Edwards,8.4,LAC
Chase Brown,8.4,CIN
Zach Charbonnet,8.3,SEA
Rico Dowdle,8.3,DAL
J.K. Dobbins,8.3,LAC
Trey Benson,8.2,ARI
Jerome Ford,8.2,CLE
Chuba Hubbard,8.2,CAR
Jaylen Wright,8,MIA
Antonio Gibson,7.9,NE
Jaleel McLaughlin,7.9,DEN
Tyrone Tracy Jr.,7.8,NYG
Ty Chandler,7.6,MIN
Tyler Allgeier,7.6,ATL
MarShawn Lloyd,7.5,GB
Elijah Mitchell,7.5,SF
Kendre Miller,7.5,NO
Bucky Irving,7.4,TB
Braelon Allen,7.3,NYJ
Kimani Vidal,7.2,LAC
Khalil Herbert,7,CHI
Clyde Edwards-Helaire,7,KC
Dameon Pierce,6.9,HOU
Alexander Mattison,6.9,LV
Tank Bigsby,6.9,JAC
Ray Davis,6.7,BUF
AJ Dillon,6.6,GB
Audric Estime,6.5,DEN
Roschon Johnson,6.4,CHI
Jordan Mason,6.4,SF
Keaton Mitchell,6.3,BAL
Samaje Perine,6.2,DEN
Justice Hill,6.1,BAL
Kenneth Gainwell,6.1,PHI
D'Onta Foreman,6,CLE
Jamaal Williams,6,NO
Will Shipley,6,PHI
Eric Gray,5.9,NYG
Dalvin Cook,5.7,FA
Trey Sermon,5.6,IND
Dylan Laube,5.6,LV
Andy Janovich,5.6,FA
Kareem Hunt,5.5,FA
J.J. Taylor,5.5,HOU
Deneric Prince,5.5,KC
Carson Steele,5.5,KC
Deuce Vaughn,5.4,DAL
Isaac Guerendo,5.2,SF
Miles Sanders,5.2,CAR
Jermar Jefferson,5.1,DET
Rasheen Ali,5.1,BAL
Mark Ingram,5,II
Sione Vaki,5,DET
Anthony Jones,5,FA
Larry Rose,5,III
DeWayne McBride,5,MIN
Danny Vitale,5,FA
Keaontay Ingram,4.9,KC
Cordarrelle Patterson,4.9,PIT
Jacob Saylors,4.9,CLE
Louis Rees-Zammit,4.9,KC
Kyle Juszczyk,4.9,SF
Jeff Wilson Jr.,4.9,MIA
Isaiah Bowser,4.8,FA
Jerick McKinnon,4.8,FA
James White,4.8,FA
Cam Akers,4.8,HOU
Royce Freeman,4.8,DAL
Ty Johnson,4.7,BUF
Jon Hilliman,4.7,FA
Kene Nwangwu,4.7,MIN
SaRodorick Thompson Jr.,4.7,LAR
Michael Wiley,4.7,WAS
Corey Clement,4.7,FA
Kevin Harris,4.7,NE
Wendell Smallwood,4.6,FA
Ty'Son Williams,4.6,FA
Anthony McFarland Jr.,4.6,MIA
Dylan McDuffie,4.6,FA
Michael Carter,4.6,ARI
Craig Reynolds,4.6,DET
Frank Gore Jr.,4.5,BUF
Caleb Huntley,4.4,FA
Chris Rodriguez Jr.,4.4,WAS
Malcolm Brown,4.4,FA
Israel Abanikanda,4.3,NYJ
Derek Watt,4.3,FA
Mohamed Ibrahim,4.2,MIN
Leonard Fournette,4.1,FA
C.J. Ham,4,MIN
J.D. McKissic,4,FA
Jashaun Corbin,3.9,FA
Emari Demercado,3.8,ARI
Alec Ingold,3.6,MIA
Patrick Ricard,3.6,BAL
Jake Funk,3.6,DET
