Denver Broncos,14.5,DST
Philadelphia Eagles,13.9,DST
Houston Texans,13.4,DST
Pittsburgh Steelers,13.3,DST
Baltimore Ravens,13.3,DST
Buffalo Bills,13.2,DST
Minnesota Vikings,13.1,DST
Kansas City Chiefs,13,DST
Dallas Cowboys,12.9,DST
Detroit Lions,12.8,DST
San Francisco 49ers,12.7,DST
Chicago Bears,12.7,DST
New England Patriots,12.7,DST
Tampa Bay Buccaneers,12.6,DST
Green Bay Packers,12.6,DST
New York Giants,12.5,DST
Los Angeles Rams,12.5,DST
Arizona Cardinals,12.4,DST
Cincinnati Bengals,12.4,DST
New York Jets,12.3,DST
Los Angeles Chargers,12.3,DST
Seattle Seahawks,12.2,DST
Cleveland Browns,12.2,DST
Washington Commanders,12.1,DST
Atlanta Falcons,12,DST
Miami Dolphins,11.9,DST
Indianapolis Colts,11.9,DST
Las Vegas Raiders,11.5,DST
New Orleans Saints,11.4,DST
Tennessee Titans,11.4,DST
Jacksonville Jaguars,11.3,DST
Carolina Panthers,11,DST
