Brandon Aubrey,8,DAL
Cameron Dicker,7.5,LAC
Jake Bates,7.1,DET
Ka'imi Fairbairn,6.8,HOU
Chase McLaughlin,6.7,TB
Chris Boswell,6.6,PIT
Wil Lutz,6.6,DEN
Harrison Butker,6.6,KC
Jason Sanders,6.5,MIA
Jake Elliott,6.4,PHI
Tyler Bass,6.3,BUF
Brandon McManus,6.3,GB
Evan McPherson,6.3,CIN
Younghoe Koo,6.3,ATL
Daniel Carlson,6.2,LV
Joshua Karty,6.2,LAR
Matt Gay,6.2,WAS
Tyler Loop,6.2,BAL
Will Reichard,6.2,MIN
Jake Moody,6.1,SF
Jason Myers,6,SEA
Justin Tucker,6,FA
Cam Little,6,JAC
Cairo Santos,6,CHI
Andy Borregales,5.9,NE
Dustin Hopkins,5.9,CLE
Graham Gano,5.8,NYG
Blake Grupe,5.8,NO
Parker Romo,5.8,NE
Matthew Wright,5.7,CAR
Jude McAtamney,5.6,NYG
Greg Joseph,5.6,SF
Spencer Shrader,5.5,IND
Mason Crosby,5.5,FA
Chad Ryland,5.5,ARI
Zane Gonzalez,5.4,FA
Joey Slye,5.4,TEN
Tanner Brown,5.3,FA
Harrison Mevis,5.2,NYJ
Lenny Krieg,5.2,ATL
