Lamar Jackson,20,BAL
Josh Allen,18.9,BUF
Jayden Daniels,18.3,WAS
Jalen Hurts,18.1,PHI
Joe Burrow,17.5,CIN
Patrick Mahomes II,17.2,KC
Bo Nix,17,DEN
Baker Mayfield,16.8,TB
Kyler Murray,16.8,ARI
Caleb Williams,16.3,CHI
Brock Purdy,16,SF
Jared Goff,16,DET
Justin Fields,16,NYJ
Dak Prescott,15.7,DAL
Justin Herbert,15.5,LAC
Drake Maye,15.5,NE
J.J. McCarthy,15.4,MIN
C.J. Stroud,15.2,HOU
Tua Tagovailoa,15.2,MIA
Jordan Love,15.2,GB
Trevor Lawrence,15.2,JAC
Matthew Stafford,15.1,LAR
Geno Smith,15,LV
Michael Penix Jr.,15,ATL
Cameron Ward,15,TEN
Bryce Young,14.9,CAR
Sam Darnold,14.9,SEA
Aaron Rodgers,14.7,PIT
Anthony Richardson Sr.,14.7,IND
Shedeur Sanders,14.6,CLE
Tyler Shough,14.6,NO
Daniel Jones,14.6,IND
Russell Wilson,14.5,NYG
Joe Flacco,14.5,CLE
Kirk Cousins,14.5,ATL
Mitchell Trubisky,14.5,BUF
Jaxson Dart,14.4,NYG
Jalen Milroe,14.4,SEA
Dillon Gabriel,14.4,CLE
Deshaun Watson,14.3,CLE
Mac Jones,14.3,SF
Spencer Rattler,14.3,NO
Jameis Winston,14.2,NYG
Joe Milton III,14.2,DAL
Kenny Pickett,14.1,CLE
Joshua Dobbs,14,NE
Tanner McKee,14,PHI
Tommy DeVito,14,NYG
Andy Dalton,14,CAR
Carson Wentz,14,FA
Marcus Mariota,13.9,WAS
Jordan Travis,13.9,FA
Will Howard,13.9,PIT
Quinn Ewers,13.8,MIA
Jacoby Brissett,13.8,ARI
Drew Lock,13.7,SEA
Gardner Minshew II,13.7,KC
Jaren Hall,13.6,FA
Malik Willis,13.5,GB
Zach Wilson,13.5,MIA
Nathan Rourke,13.5,FA
Will Levis,13.4,TEN
Stetson Bennett,13.3,LAR
Jake Browning,13.3,CIN
Mason Rudolph,13.3,PIT
Cooper Rush,13.3,BAL
Max Duggan,13.3,FA
Aidan O'Connell,13.3,LV
Jarrett Stidham,13.2,DEN
Riley Leonard,13.2,IND
Austin Reed,13.1,CHI
Hendon Hooker,13.1,DET
Emory Jones,13,ATL
Ben DiNucci,13,FA
Tommy Mellott,13,LV
Case Keenum,13,CHI
