Ja'Marr Chase,13.5,CIN
Justin Jefferson,13.1,MIN
CeeDee Lamb,12.7,DAL
Amon-Ra St. Brown,12.5,DET
Malik Nabers,12.4,NYG
Puka Nacua,12.2,LAR
Nico Collins,11.8,HOU
Brian Thomas Jr.,11.4,JAC
Drake London,10.8,ATL
A.J. Brown,10.5,PHI
Ladd McConkey,10.2,LAC
Tyreek Hill,9.8,MIA
Tee Higgins,9.8,CIN
Jaxon Smith-Njigba,9.7,SEA
Davante Adams,9.6,LAR
Rashee Rice,9.6,KC
Marvin Harrison Jr.,9.6,ARI
Garrett Wilson,9.5,NYJ
Terry McLaurin,9.5,WAS
Mike Evans,9.4,TB
Courtland Sutton,9.2,DEN
DeVonta Smith,9.2,PHI
DJ Moore,9.2,CHI
DK Metcalf,9.1,PIT
Jameson Williams,9,DET
Tetairoa McMillan,8.9,CAR
Xavier Worthy,8.9,KC
Zay Flowers,8.8,BAL
Jaylen Waddle,8.7,MIA
Calvin Ridley,8.6,TEN
George Pickens,8.6,DAL
Chris Godwin,8.6,TB
Jordan Addison,8.5,MIN
Travis Hunter,8.5,JAC
Jerry Jeudy,8.5,CLE
Rome Odunze,8.4,CHI
Chris Olave,8.4,NO
Jauan Jennings,8.4,SF
Deebo Samuel Sr.,8.3,WAS
Jayden Reed,8.2,GB
Ricky Pearsall,8.2,SF
Stefon Diggs,8.2,NE
Matthew Golden,8.1,GB
Khalil Shakir,8.1,BUF
Jakobi Meyers,8,LV
Darnell Mooney,8,ATL
Brandon Aiyuk,8,SF
Cooper Kupp,7.9,SEA
Keon Coleman,7.9,BUF
Emeka Egbuka,7.8,TB
Josh Downs,7.7,IND
Rashid Shaheed,7.7,NO
Michael Pittman Jr.,7.6,IND
Marquise Brown,7.4,KC
Jayden Higgins,7.4,HOU
Tre Harris,7.4,LAC
Christian Kirk,7.4,HOU
Adam Thielen,7.3,CAR
Luther Burden III,7.3,CHI
Marvin Mims Jr.,7.2,DEN
Wan'Dale Robinson,7.1,NYG
Jack Bech,7.1,LV
Rashod Bateman,7.1,BAL
Kyle Williams,7,NE
Cedric Tillman,6.9,CLE
Quentin Johnston,6.8,LAC
Xavier Legette,6.7,CAR
Jalen McMillan,6.7,TB
Romeo Doubs,6.6,GB
DeAndre Hopkins,6.5,BAL
Jaylin Noel,6.5,HOU
Alec Pierce,6.4,IND
Pat Bryant,6.4,DEN
Dont'e Thornton Jr.,6.3,LV
Dyami Brown,6.3,JAC
Joshua Palmer,6.3,BUF
DeMario Douglas,6.3,NE
Amari Cooper,6.1,FA
